time,source,sink
2128,112.5,38.1
2129,112.4,38.1
2130,112.5,38.1
2131,112.6,38.2
2132,112.6,38.2
2133,112.6,38.2
2134,112.6,38.1
2135,112.5,38.1
2136,112.3,38
2137,112.3,38
2138,112.3,38
2139,112.2,38
2140,112.1,38
2141,112.1,37.9
2142,112.1,38
2143,112.1,38.1
2144,112.1,38.1
2145,112.2,38.1
2146,112.4,38.1
2147,112.3,38.1
2148,112.2,38.1
2149,112.5,38
2150,112.7,37.8
2151,112.6,37.9
2152,112.5,37.8
2153,112.4,37.8
2154,112.4,37.8
2155,112.3,38
2156,112.1,37.9
2157,112.1,38
2158,112,37.8
2159,111.9,37.9
2160,111.8,38.1
2161,111.8,38.1
2162,111.7,38
2163,111.8,38
2164,111.9,38
2165,111.9,38
2166,111.9,38
2167,112,38.1
2168,112,38.1
2169,112.1,38.1
2170,112.2,38.1
2171,112.2,38.1
2172,112.2,38.1
2173,112.4,38.2
2174,112.4,38.1
2175,112.4,38.1
2176,112.4,38.1
2177,112.4,38.2
2178,112.4,38.3
2179,112.4,38.3
2180,112.4,38.3
2181,112.5,38.4
2182,112.4,38.3
2183,112.5,38.3
2184,112.3,38.3
2185,112.3,38.3
2186,112.4,38.3
2187,112.4,38.3
2188,112.4,38.1
2189,112.4,38
2190,112.4,38
2191,112.4,38.1
2192,112.4,38.1
2193,112.4,38.1
2194,112.3,38.1
2195,112.5,38.2
2196,112.5,38.2
2197,112.5,38.2
2198,112.5,38.2
2199,112.6,38.2
2200,112.3,38.2
2201,112.5,38.2
2202,112.5,38.2
2203,112.5,38.2
2204,112.7,38.3
2205,112.7,38.3
2206,112.6,38.2
2207,112.5,38.3
2208,112.3,38.2
2209,112.3,38.2
2210,112.4,38.1
2211,112.4,38
2212,112.4,38.1
2213,112.3,38.1
2214,112,38.2
2215,112,38.3
2216,112.1,38.2
2217,112.3,38.2
2218,112.4,38.2
2219,112.2,38.1
2220,112.1,38.1
2221,111.4,38.2
2222,111.5,38.2
2223,111.8,38.3
2224,112.1,38.3
2225,112.5,38.4
2226,112.5,38.3
2227,112.3,38.3
2228,112,38.1
2229,112.2,37.8
2230,112.5,37.8
2231,112.5,37.7
2232,112.7,37.9
2233,112.7,37.9
2234,112.5,37.9
2235,112.5,38
2236,112.6,38.1
2237,112.6,38
2238,112.6,38.1
2239,112.8,37.9
2240,112.9,37.8
2241,112.9,37.8
2242,112.9,37.8
2243,112.7,37.8
2244,112.6,37.8
2245,112.7,37.7
2246,112.7,37.8
2247,112.5,37.7
2248,112.5,37.8
2249,112.4,38
2250,112.5,38
2251,112.5,38
2252,112.5,38.1
2253,112.4,38
2254,112.5,38.1
2255,112.4,38.1
2256,112.5,38.2
2257,112.4,38.3
2258,112.4,38.3
2259,112.4,38.2
2260,112.4,38.3
2261,112.3,38.4
2262,112.4,38.4
2263,112.4,38.4
2264,112.6,38.4
2265,112.6,38.3
2266,112.5,38.3
2267,112.7,38.2
2268,112.8,38.3
2269,112.7,38.2
